temperature_K,thermal_conductivity_W_per_cmK,thermal_conductivity_W_per_mK,value_basis,source_segment,suggested_total_relative_uncertainty_pct,independent_measurement,interpolation_method,source_figure
142,0.179023,17.9023,PCHIP_logT_logk,E.D.-constantan trace,3,false,shape-preserving PCHIP in ln(T)-ln(k),"NIST Monograph 131, Figure 43f, printed page 296"
143,0.179221,17.9221,PCHIP_logT_logk,E.D.-constantan trace,3,false,shape-preserving PCHIP in ln(T)-ln(k),"NIST Monograph 131, Figure 43f, printed page 296"
144,0.179427,17.9427,PCHIP_logT_logk,E.D.-constantan trace,3,false,shape-preserving PCHIP in ln(T)-ln(k),"NIST Monograph 131, Figure 43f, printed page 296"
145,0.179641,17.9641,PCHIP_logT_logk,E.D.-constantan trace,3,false,shape-preserving PCHIP in ln(T)-ln(k),"NIST Monograph 131, Figure 43f, printed page 296"
146,0.179863,17.9863,PCHIP_logT_logk,E.D.-constantan trace,3,false,shape-preserving PCHIP in ln(T)-ln(k),"NIST Monograph 131, Figure 43f, printed page 296"
147,0.180096,18.0096,PCHIP_logT_logk,E.D.-constantan trace,3,false,shape-preserving PCHIP in ln(T)-ln(k),"NIST Monograph 131, Figure 43f, printed page 296"
148,0.180359,18.0359,PCHIP_logT_logk,E.D.-constantan trace,3,false,shape-preserving PCHIP in ln(T)-ln(k),"NIST Monograph 131, Figure 43f, printed page 296"
149,0.180654,18.0654,PCHIP_logT_logk,E.D.-constantan trace,3,false,shape-preserving PCHIP in ln(T)-ln(k),"NIST Monograph 131, Figure 43f, printed page 296"
150,0.180975,18.0975,PCHIP_logT_logk,E.D.-constantan trace,3,false,shape-preserving PCHIP in ln(T)-ln(k),"NIST Monograph 131, Figure 43f, printed page 296"
151,0.181316,18.1316,PCHIP_logT_logk,E.D.-constantan trace,3,false,shape-preserving PCHIP in ln(T)-ln(k),"NIST Monograph 131, Figure 43f, printed page 296"
152,0.181673,18.1673,PCHIP_logT_logk,E.D.-constantan trace,3,false,shape-preserving PCHIP in ln(T)-ln(k),"NIST Monograph 131, Figure 43f, printed page 296"
